ticker,cik,sic,ff12,ff48,ff49,ff_label,sic_desc
BSX,885725,3841.0,10,-1,-1,Hlth,
ACN,1467373,7389.0,12,-1,-1,Other,
UL,217410,2840.0,5,-1,-1,Chems,
TJX,109198,5651.0,9,-1,-1,Shops,
MU,723125,3674.0,6,-1,-1,BusEq,
LOW,60667,5211.0,9,-1,-1,Shops,
AMGN,318154,2836.0,10,-1,-1,Hlth,
ADBE,796343,7372.0,6,-1,-1,BusEq,
ARM,1973239,3674.0,6,-1,-1,BusEq,
SYK,310764,3841.0,10,-1,-1,Hlth,
SAN,891478,6029.0,11,-1,-1,Money,
NEE,753308,4911.0,8,-1,-1,Utils,
GILD,882095,2836.0,10,-1,-1,Hlth,
PGR,80661,6331.0,11,-1,-1,Money,
APH,820313,3678.0,6,-1,-1,BusEq,
COF,927628,6021.0,11,-1,-1,Money,
SPOT,1639920,4832.0,7,-1,-1,Telcm,
PFE,78003,2834.0,10,-1,-1,Hlth,
DHR,313616,3823.0,6,-1,-1,BusEq,
TTE,879764,1311.0,4,-1,-1,Enrgy,
HON,773840,3724.0,3,-1,-1,Manuf,
ETN,1551182,3590.0,3,-1,-1,Manuf,
BHP,811809,1000.0,12,-1,-1,Other,
LRCX,707549,3559.0,3,-1,-1,Manuf,
PANW,1327567,3577.0,6,-1,-1,BusEq,
UNP,100885,4011.0,12,-1,-1,Other,
UTX,2046954,3531.0,3,-1,-1,Manuf,
AMAT,6951,3674.0,6,-1,-1,BusEq,
DE,315189,3523.0,3,-1,-1,Manuf,
KKR,1404912,6282.0,11,-1,-1,Money,
TD,947263,6029.0,11,-1,-1,Money,
UBS,1610520,6021.0,11,-1,-1,Money,
CMCSA,1166691,4841.0,7,-1,-1,Telcm,
RTNTF,887028,1000.0,12,-1,-1,Other,
HTHIY,47710,1600.0,12,-1,-1,Other,
BTI,1303523,2111.0,1,-1,-1,NoDur,
ADI,6281,3674.0,6,-1,-1,BusEq,
KLAC,319201,3827.0,6,-1,-1,BusEq,
MDT,1613103,3845.0,10,-1,-1,Hlth,
SNY,1121404,2834.0,10,-1,-1,Hlth,
ADP,8670,7374.0,6,-1,-1,BusEq,
MELI,1099590,7389.0,12,-1,-1,Other,
BUD,1668717,2082.0,1,-1,-1,NoDur,
COP,1163165,2911.0,4,-1,-1,Enrgy,
INTC,50863,3674.0,6,-1,-1,BusEq,
IBN,1103838,6029.0,11,-1,-1,Money,
SE,1703399,7380.0,12,-1,-1,Other,
WELL,766704,6798.0,11,-1,-1,Money,
MO,764180,2111.0,1,-1,-1,NoDur,
CB,896159,6331.0,11,-1,-1,Money,
DASH,1792789,7389.0,12,-1,-1,Other,
SNPS,883241,7372.0,6,-1,-1,BusEq,
NKE,320187,3021.0,3,-1,-1,Manuf,
BBVA,842180,6029.0,11,-1,-1,Money,
LMT,936468,3760.0,3,-1,-1,Manuf,
CRWD,1535527,7372.0,6,-1,-1,BusEq,
IBKR,1381197,6211.0,11,-1,-1,Money,
SMFG,1022837,6029.0,11,-1,-1,Money,
ENB,895728,4610.0,12,-1,-1,Other,
HOOD,1783879,6211.0,11,-1,-1,Money,
PLD,1045609,6798.0,11,-1,-1,Money,
VRTX,875320,2834.0,10,-1,-1,Hlth,
SO,92122,4911.0,8,-1,-1,Utils,
ICE,1571949,6200.0,11,-1,-1,Money,
RIO,863064,1000.0,12,-1,-1,Other,
MMC,62709,6411.0,11,-1,-1,Money,
BN,1001085,6512.0,11,-1,-1,Money,
CDNS,813672,7372.0,6,-1,-1,BusEq,
HCA,860730,8062.0,10,-1,-1,Hlth,
BMY,14272,2834.0,10,-1,-1,Hlth,
SBUX,829224,5810.0,9,-1,-1,Shops,
PH,76334,3490.0,3,-1,-1,Manuf,
CME,1156375,6200.0,11,-1,-1,Money,
CEG,1868275,4911.0,8,-1,-1,Utils,
RCL,884887,4400.0,12,-1,-1,Other,
DUK,1326160,4931.0,8,-1,-1,Utils,
MSTR,1050446,6199.0,11,-1,-1,Money,
RBLX,1315098,7372.0,6,-1,-1,BusEq,
TT,1466258,3822.0,6,-1,-1,BusEq,
NTES,1110646,7372.0,6,-1,-1,BusEq,
MCO,1059556,7320.0,12,-1,-1,Other,
AMT,1053507,6798.0,11,-1,-1,Money,
CVS,64803,5912.0,9,-1,-1,Shops,
ORLY,898173,5531.0,9,-1,-1,Shops,
WM,823768,4953.0,12,-1,-1,Other,
BMO,927971,6029.0,11,-1,-1,Money,
BAM,1937926,6282.0,11,-1,-1,Money,
SHW,89800,5200.0,9,-1,-1,Shops,
BP,313807,2911.0,4,-1,-1,Enrgy,
