symbol,ftd_date,round,entry_bar,exit_bar,hold,entry_price,exit_price,return_pct,exit_reason
AAPL,2014-01-16,0,0,6,6,17.17537498474121,17.059160232543945,-0.6766358947068816,white_bar
AAPL,2014-01-16,1,35,61,26,16.550891876220703,16.054365119934083,-2.9999999999999947,SL
AAPL,2014-10-20,0,0,5,5,21.999893188476562,23.179718017578125,5.362866169366446,white_bar
AAPL,2014-10-20,1,11,29,18,23.94936180114746,25.48621368408203,6.4170890886158665,white_bar
AAPL,2014-10-20,2,51,52,1,24.21488380432129,23.48843729019165,-2.9999999999999956,SL
AAPL,2014-10-20,3,63,79,16,24.263622283935547,28.11945915222168,15.891431308832251,white_bar
AAPL,2014-10-20,4,95,97,2,28.27066421508789,27.422544288635255,-2.9999999999999973,SL
AAPL,2014-10-20,5,105,107,2,28.28622817993164,27.43764133453369,-3.0000000000000027,SL
AAPL,2014-12-19,0,0,8,8,24.75752830505371,24.0148024559021,-3.0,SL
AAPL,2014-12-19,1,20,36,16,24.263622283935547,28.11945915222168,15.891431308832251,white_bar
AAPL,2014-12-19,2,52,54,2,28.27066421508789,27.422544288635255,-2.9999999999999973,SL
AAPL,2014-12-19,3,62,64,2,28.28622817993164,27.43764133453369,-3.0000000000000027,SL
AAPL,2015-08-27,0,0,3,3,25.327735900878906,24.56790382385254,-2.9999999999999987,SL
AAPL,2015-08-27,1,17,22,5,25.435392379760742,24.67233060836792,-3.000000000000006,SL
AAPL,2016-05-17,0,0,32,32,21.30257225036621,21.84943199157715,2.567106614092279,white_bar
AAPL,2016-05-17,1,38,67,29,22.19805145263672,24.85896110534668,11.987131656071073,white_bar
AAPL,2016-05-17,2,72,80,8,24.47179412841797,23.737640304565428,-3.0000000000000075,SL
AAPL,2016-05-17,3,100,105,5,26.13043212890625,26.94828987121582,3.1299051553182395,white_bar
AAPL,2016-05-17,4,110,117,7,26.71233367919922,25.910963668823243,-2.999999999999998,SL
AAPL,2018-05-02,0,0,17,17,41.48103332519531,44.47334671020508,7.213690559613552,white_bar
AAPL,2018-05-02,1,34,37,3,43.98281478881836,42.66333034515381,-2.9999999999999973,SL
AAPL,2018-05-02,2,44,50,6,43.723388671875,45.12187957763672,3.1984961555857074,white_bar
AAPL,2018-05-02,3,78,103,25,50.89369583129883,53.236637115478516,4.603598237286621,white_bar
AAPL,2018-05-02,4,109,112,3,53.08043670654297,51.488023605346676,-3.0000000000000067,SL
AAPL,2018-11-01,0,0,1,1,52.59054183959961,51.01282558441162,-2.9999999999999973,SL
AAPL,2018-11-01,1,20,23,3,42.41018295288086,41.137877464294434,-3.0,SL
AAPL,2019-01-08,0,0,20,20,35.80094528198242,41.379486083984375,15.582104768639926,white_bar
AAPL,2019-01-08,1,33,43,10,41.578426361083984,43.14778137207031,3.7744454235891713,white_bar
AAPL,2019-01-08,2,90,91,1,45.25088119506836,43.89335475921631,-3.0000000000000013,SL
AAPL,2019-01-08,3,106,119,13,46.64192199707031,47.38652038574219,1.596414463191815,cycle_end
AAPL,2019-06-06,0,0,21,21,44.345855712890625,47.889312744140625,7.990503225806451,white_bar
AAPL,2019-06-06,1,37,40,3,49.98665237426758,48.487052803039546,-3.0000000000000093,SL
AAPL,2019-06-06,2,45,53,8,48.304386138916016,51.10426330566406,5.796320770325139,white_bar
AAPL,2019-06-06,3,60,69,9,50.166961669921875,52.57268142700195,4.7954264659453205,white_bar
AAPL,2019-06-06,4,75,102,27,52.565467834472656,58.463233947753906,11.219848992599415,white_bar
AAPL,2019-06-06,5,117,119,2,63.44294738769531,63.103050231933594,-0.5357524669915342,cycle_end
AAPL,2020-03-04,0,0,1,1,73.14982604980469,70.95533126831054,-3.000000000000003,SL
AAPL,2020-03-04,1,43,97,54,71.89818572998047,94.26873016357422,31.114198788837545,white_bar
AAPL,2020-03-04,2,106,113,7,106.2785415649414,111.65946197509766,5.063035614643097,white_bar
AAPL,2022-01-27,0,0,6,6,155.80279541015625,168.90501403808594,8.409488798604443,white_bar
AAPL,2022-01-27,1,17,19,2,160.9982147216797,156.16826828002928,-3.0000000000000098,SL
AAPL,2022-01-27,2,38,48,10,166.76913452148438,168.35638427734375,0.9517647017919221,white_bar
AAPL,2022-01-27,3,55,60,5,161.73304748535156,156.88105606079102,-2.9999999999999942,SL
AAPL,2022-01-27,4,73,78,5,139.88331604003906,135.68681655883788,-3.0000000000000107,SL
AAPL,2022-10-18,0,0,12,12,141.2469024658203,137.0094953918457,-3.0000000000000098,SL
AAPL,2022-10-18,1,23,28,5,148.90219116210938,144.43512542724608,-3.0000000000000107,SL
AAPL,2024-09-19,0,0,12,12,227.37637329101562,220.55508209228515,-3.000000000000004,SL
AAPL,2024-09-19,1,20,26,6,230.63497924804688,229.89979553222656,-0.31876505386011966,white_bar
AAPL,2025-04-11,0,0,5,5,197.29013061523438,191.37142669677735,-2.999999999999998,SL
AAPL,2025-04-11,1,17,22,5,195.39837646484375,211.6858367919922,8.33551466589534,white_bar
AAPL,2025-04-11,2,28,29,1,200.7490997314453,194.72662673950194,-3.0000000000000075,SL
AAPL,2025-04-11,3,38,42,4,203.30133056640625,197.20229064941407,-2.999999999999998,SL
AAPL,2025-08-06,0,0,6,6,212.60302734375,232.337158203125,9.28214950931419,white_bar
AAPL,2025-08-06,1,27,38,11,236.24969482421875,254.14559936523438,7.574995834103001,white_bar
AAPL,2025-08-06,2,43,46,3,255.99209594726562,248.31233306884764,-3.000000000000008,SL
AAPL,2025-08-06,3,58,74,16,268.4882507324219,268.3089294433594,-0.06678925002242032,white_bar
MSFT,2014-12-22,0,0,6,6,40.805259704589844,39.581101913452144,-3.0000000000000098,SL
MSFT,2014-12-22,1,15,23,8,39.08732986450195,37.914709968566896,-2.9999999999999956,SL
MSFT,2015-06-18,0,0,6,6,40.27650451660156,39.068209381103514,-3.0000000000000027,SL
MSFT,2015-06-18,1,17,37,20,39.32821273803711,40.00925827026367,1.731697132445266,white_bar
MSFT,2015-06-18,2,51,52,1,37.76523971557617,36.63228252410889,-2.9999999999999973,SL
MSFT,2015-06-18,3,58,67,9,37.56565475463867,38.0689582824707,1.3397970330062794,white_bar
MSFT,2015-06-18,4,88,98,10,41.67887496948242,47.1891975402832,13.220900455771611,white_bar
MSFT,2015-06-18,5,113,119,6,47.11415100097656,48.75654220581055,3.4859828097081524,cycle_end
MSFT,2015-08-27,0,0,3,3,38.09499740600586,36.952147483825684,-3.0,SL
MSFT,2015-08-27,1,9,18,9,37.56565475463867,38.0689582824707,1.3397970330062794,white_bar
MSFT,2015-08-27,2,39,49,10,41.67887496948242,47.1891975402832,13.220900455771611,white_bar
MSFT,2015-08-27,3,64,80,16,47.11415100097656,47.900394439697266,1.668805278279144,white_bar
MSFT,2015-08-27,4,90,91,1,47.218971252441406,45.802402114868165,-2.9999999999999973,SL
MSFT,2019-06-06,0,0,5,5,120.27519226074219,124.5095443725586,3.5205531849301384,white_bar
MSFT,2019-06-06,1,15,23,8,126.23155975341797,129.71316528320312,2.758110203649674,white_bar
MSFT,2019-06-06,2,40,41,1,128.8192138671875,124.95463745117188,-2.9999999999999987,SL
MSFT,2019-06-06,3,53,55,2,131.0325469970703,127.10157058715819,-3.000000000000008,SL
MSFT,2021-03-09,0,0,16,16,224.32582092285156,226.23536682128906,0.8512376732120448,white_bar
MSFT,2021-03-09,1,36,41,5,242.29840087890625,235.02944885253905,-3.000000000000006,SL
MSFT,2021-03-09,2,48,54,6,235.26486206054688,242.09808349609375,2.9044802422676717,white_bar
MSFT,2021-03-09,3,69,75,6,247.54173278808594,256.495849609375,3.6172150531702267,white_bar
MSFT,2021-03-09,4,97,119,22,275.5871276855469,288.20806884765625,4.579655540555669,cycle_end
MSFT,2022-01-27,0,0,15,15,289.4593811035156,280.77559967041014,-3.000000000000004,SL
MSFT,2022-01-27,1,43,48,5,303.62054443359375,294.5119281005859,-3.000000000000006,SL
MSFT,2022-10-18,0,0,6,6,231.74732971191406,224.79490982055663,-3.0000000000000067,SL
MSFT,2022-10-18,1,15,23,8,222.3899688720703,235.0508575439453,5.693102407491306,white_bar
MSFT,2022-10-18,2,29,35,6,234.18365478515625,238.1202850341797,1.681001286206317,white_bar
