symbol,total_bars,flagged_bars,flagged_pct,all_dir_ratio,fp_dir_ratio,all_dir_ratio_chunked,fp_dir_ratio_chunked,all_volatility,fp_volatility,vol_ratio,pred_n,pred_5d_accuracy,pred_10d_accuracy,fp_extreme_rate,all_extreme_rate,extreme_enrichment
AAPL,3097,268,8.653535679690021,0.0850234371784883,0.3046553400192538,0.1697901814343753,0.5342288300524539,0.017783217447973326,0.05764415753394998,3.24149202485962,267,0.5393258426966292,0.5205992509363296,0.041044776119402986,0.05521472392638037,0.7433665008291874
MSFT,3097,275,8.879560865353568,0.08603013319929274,0.31679452323309215,0.1581481881826102,0.5187247801965328,0.01670527310702754,0.048376865522136894,2.8959038988584878,273,0.5091575091575091,0.5347985347985348,0.05454545454545454,0.0636099451081692,0.8574988463313336
GOOGL,3097,265,8.556667742977075,0.07846367496934442,0.29689121273765934,0.14338209798982526,0.5640461704717615,0.017797097514339232,0.05409036388510612,3.039280075952002,263,0.43346007604562736,0.44866920152091255,0.05660377358490566,0.0629641588634162,0.8989840348330915
AMZN,3097,244,7.878592185986438,0.07281717135189149,0.24940655862896505,0.15723391959410266,0.5694448026815587,0.02070138614831238,0.0794318323588359,3.8370296457327497,243,0.48559670781893005,0.4897119341563786,0.05327868852459016,0.06005812076202777,0.8871188083906222
META,3097,275,8.879560865353568,0.07096786544064164,0.25010969039450187,0.15401743712447205,0.47625780417475005,0.023600498345901867,0.0719687355400287,3.0494582989399364,272,0.5110294117647058,0.5330882352941176,0.05090909090909091,0.06393283823054569,0.7962901744719927
NVDA,3097,266,8.588957055214724,0.12116253559075467,0.4140141462021496,0.1817947998941602,0.5443188323837177,0.029557781930594045,0.10003384181443828,3.384348732571755,265,0.49433962264150944,0.5207547169811321,0.06766917293233082,0.0587665482725218,1.15149136577708
TSLA,3097,281,9.073296738779463,0.07233530179862399,0.2450809071662876,0.15272467400453046,0.5242037507768303,0.035671542069486514,0.12577713555287046,3.525979765827404,278,0.5,0.5539568345323741,0.0498220640569395,0.0584436551501453,0.8524802894162521
JPM,3097,281,9.073296738779463,0.0704880979588927,0.2570356373337461,0.16194613515999134,0.5238678787409845,0.016666246257061614,0.04819987875852361,2.8920656766427504,279,0.5340501792114696,0.4731182795698925,0.046263345195729534,0.0629641588634162,0.7347568208778174
JNJ,3097,294,9.493057797868905,0.06032117623064135,0.22355358349673063,0.13577881536276015,0.5159854296872808,0.011272585278706239,0.030199755693978352,2.6790443316517005,292,0.5136986301369864,0.4965753424657534,0.06802721088435375,0.06167258637391024,1.1030380738682908
PG,3097,277,8.944139489828867,0.048325208926247094,0.17219994065722782,0.14513644777284906,0.4874831692251493,0.01141708668796222,0.033606840148968864,2.943556536572745,273,0.46153846153846156,0.4908424908424908,0.06498194945848375,0.06167258637391024,1.0536601961933203
CL,3097,241,7.78172424927349,0.030363893300401165,0.1301214317159939,0.13919514807788025,0.44585439264473836,0.0119402298353926,0.0364506214010163,3.0527570996138857,238,0.5168067226890757,0.5084033613445378,0.016597510373443983,0.06070390700678076,0.2734174980135958
ABBV,3097,285,9.202453987730062,0.06420484361247067,0.21891564292668944,0.16355196138381803,0.5218416098844688,0.01665270767823923,0.05322075913869789,3.1959222588314344,282,0.5283687943262412,0.5390070921985816,0.042105263157894736,0.0587665482725218,0.7164835164835164
KO,3097,288,9.299321924443008,0.05112658067500842,0.1928058777415123,0.15348996634768589,0.47233855611084347,0.011043580187297128,0.036465214934524474,3.30193780604487,285,0.519298245614035,0.49473684210526314,0.06597222222222222,0.06393283823054569,1.031898849607183
PEP,3097,291,9.396189861155957,0.04964581089555724,0.17343022024347218,0.13590037027240143,0.5074196427020352,0.011766713333448024,0.033504711854709705,2.8474146437705175,288,0.5034722222222222,0.5034722222222222,0.048109965635738834,0.06393283823054569,0.7525078968377938
MRK,3097,296,9.557636422344205,0.050838705572852395,0.18200860004775246,0.1396272941592073,0.46031765039933065,0.014067202143344629,0.04107117733293999,2.919640800951402,294,0.48299319727891155,0.46598639455782315,0.05067567567567568,0.06134969325153374,0.8260135135135136
UNH,3097,251,8.104617371649985,0.06346834399272056,0.23121874973940904,0.14531039670541918,0.529564940882793,0.01812101404195577,0.06211559395806284,3.4278210818801846,248,0.4596774193548387,0.4798387096774194,0.08366533864541832,0.06942202131094607,1.2051700176040026
HD,3097,265,8.556667742977075,0.06375754311127738,0.22439023638172553,0.16414702992652364,0.5301794727184537,0.014979803060302662,0.048305641554000765,3.2247180660214076,264,0.6022727272727273,0.5454545454545454,0.06037735849056604,0.0584436551501453,1.033086625664547
WMT,3097,299,9.654504359057151,0.07707537234333645,0.2795565622918313,0.16386390172172974,0.535262273286383,0.013282050008820776,0.0362134205387783,2.726493313511733,298,0.5369127516778524,0.47315436241610737,0.023411371237458192,0.06038101388440426,0.38772736215191456
XOM,3097,227,7.3296738779464,0.03686475961941384,0.15104637382274597,0.1434310726664421,0.42955005474864755,0.016853404635990908,0.06640768482756584,3.940312729794098,225,0.47555555555555556,0.48,0.06167400881057269,0.06328705198579271,0.9745122718690999
CVX,3097,276,8.911850177591218,0.03870742099148546,0.13813234165873775,0.1584053416531002,0.42785983081622,0.017848996043583937,0.052620011219338236,2.948065599367602,274,0.4927007299270073,0.4489051094890511,0.05434782608695652,0.0636099451081692,0.8543919664533215
