symbol,entry_date,white_bar_count,first_white_any_bar,first_white_profit_bar,fixed_20_ret,white_any_ret,white_profit_ret,max_ret_60
AAPL,2014-01-16,2,6.0,,-0.012636756980300154,-0.006766359698482217,,0.003481571359053248
AAPL,2014-10-20,4,5.0,5.0,0.14759737433044134,0.05362893573650086,0.05362893573650086,0.1980355595760359
AAPL,2014-12-19,5,8.0,36.0,-0.019949958694389872,-0.021917974754695216,0.13579426377825032,0.1945332065441523
AAPL,2015-08-27,1,17.0,17.0,0.01585191445126213,0.004250838559180578,0.004250838559180578,0.08545904756425293
AAPL,2016-05-17,4,1.0,1.0,0.039041391175415906,0.011444856757980014,0.011444856757980014,0.1701725852237752
AAPL,2018-05-02,7,17.0,17.0,0.06241472208261813,0.07213662307493882,0.07213662307493882,0.10761315633016544
AAPL,2018-11-01,5,2.0,,-0.1935779419230559,-0.09283587898911506,,-0.05521555208044626
AAPL,2018-11-29,5,1.0,,-0.12146991745632321,-0.0054023269539051,,0.02935141749018455
AAPL,2019-01-08,4,20.0,20.0,0.15582121098271007,0.15582121098271007,0.15582121098271007,0.30367684368022774
AAPL,2019-06-06,9,3.0,3.0,0.10263466666666667,0.05177617204301075,0.05177617204301075,0.15240206451612903
AAPL,2020-03-04,1,43.0,,-0.2042345274155096,-0.017110639729642402,,0.057323850263676146
AAPL,2022-01-27,5,6.0,6.0,0.0366791006917063,0.08409518179570984,0.08409518179570984,0.12541148043638972
AAPL,2022-10-18,5,13.0,23.0,0.04548807870576676,-0.0357593994871853,0.054198258460983355,0.08340903480755402
AAPL,2024-09-19,6,3.0,20.0,0.014331262445609753,-0.006553974780387185,0.014331262445609753,0.08534535050843428
AAPL,2025-04-11,9,17.0,22.0,0.06518497160702345,-0.009588768598207864,0.07296711129480667,0.07913210967140061
AAPL,2025-08-06,10,3.0,3.0,0.12568405196469543,0.06653139217888386,0.06653139217888386,0.2741289264625837
MSFT,2014-12-22,8,1.0,1.0,-0.017715398885578673,0.009795872654870797,0.009795872654870797,0.009795872654870807
MSFT,2015-06-18,6,10.0,,-0.002140886103703788,-0.04965749516136441,,0.018443974353692383
MSFT,2015-07-10,6,2.0,2.0,0.04774691622844236,0.02264059424256837,0.02264059424256837,0.06661531800379006
MSFT,2015-08-27,7,2.0,39.0,0.0009111415214371103,-0.00865619493121327,0.09407748998785745,0.25102514686511834
MSFT,2019-06-06,9,5.0,5.0,0.07228963122630427,0.03520591467942732,0.03520591467942732,0.10577366191789528
MSFT,2021-03-09,4,16.0,16.0,0.06895362066434679,0.008512308132453617,0.008512308132453617,0.12058347024756388
MSFT,2022-01-27,3,17.0,43.0,-0.006387449833980073,-0.03843740320248611,0.048922583707379834,0.05410275966087941
MSFT,2022-10-18,7,15.0,19.0,0.014549183377125078,-0.04037755581883715,0.012788229811386696,0.08153001021741546
MSFT,2024-09-11,4,8.0,8.0,-0.013190285553056794,0.024749483684819815,0.024749483684819815,0.04837824704920535
