year,entry_date,pos_idx,symbol,price_score,near_pct,above_pct,node_count,exit_date,outcome,ret_pct
2021,2021-06-22,3,AAPL,0.02,0.33,0.16,8,2021-08-26,win,11.38
2021,2021-08-24,2,TSLA,0.02,0.19,0.16,14,2021-12-13,win,40.03
2021,2021-09-15,2,AMZN,0.02,0.35,0.27,8,2021-11-01,lose,-3.33
2021,2021-11-02,2,AAPL,0.02,0.41,0.11,16,2022-01-21,win,9.71
2021,2021-11-29,3,MRNA,0.02,0.06,0.39,18,2022-01-21,lose,-55.6
2022,2022-03-31,1,AAPL,0.02,0.39,0.16,16,2022-05-09,lose,-13.69
2022,2022-10-31,1,AAPL,0.01,0.28,0.3,8,2022-12-22,lose,-13.08
2023,2023-04-03,1,AMZN,0.02,0.19,0.16,14,2023-07-21,win,27.25
2023,2023-04-03,2,NVDA,0.01,0.03,0.0,22,2023-04-14,lose,-4.64
2023,2023-05-26,2,NVDA,0.02,0.04,0.0,14,2023-07-28,win,22.06
2023,2023-05-26,3,TSLA,0.01,0.2,0.23,16,2023-08-03,win,35.48
2023,2023-09-15,1,AMZN,0.01,0.15,0.08,16,2024-01-10,win,5.53
2023,2023-09-15,2,TSLA,0.01,0.14,0.08,18,2023-10-24,lose,-22.71
2023,2023-11-07,2,NVDA,0.03,0.31,0.21,12,2024-04-10,win,82.18
2023,2023-11-28,3,TSLA,0.02,0.27,0.58,16,2024-01-19,lose,-12.11
2024,2024-02-05,2,AMZN,0.02,0.03,0.02,16,2024-04-01,win,5.19
2024,2024-05-23,1,NVDA,0.02,0.01,0.01,16,2024-07-23,win,19.25
2024,2024-06-27,2,TSLA,0.03,0.16,0.17,12,2024-08-14,win,5.25
2024,2024-07-02,3,AMZN,0.02,0.05,0.0,10,2024-07-29,lose,-7.78
2024,2024-10-11,1,NVDA,0.01,0.07,0.0,16,2024-12-03,win,2.16
2024,2024-11-08,2,AMZN,0.03,0.03,0.02,14,2025-01-14,win,4.17
2025,2025-01-24,1,NVDA,0.02,0.22,0.15,18,2025-08-25,win,19.12
2025,2025-03-26,2,MSTR,0.02,0.15,0.55,18,2025-06-20,win,10.18
2025,2025-07-14,2,AMZN,0.01,0.17,0.14,22,2025-08-07,lose,-2.69
2025,2025-08-14,2,TSLA,0.01,0.17,0.15,22,2025-08-20,lose,-2.54
