Date,close,high,low,open,volume
2014-01-02,6.853823661804199,6.879765561074731,6.765621501164735,6.775998458793177,43600
2014-01-03,6.9420247077941895,6.942024707794189,6.853822561316944,6.890140917583871,38700
2014-01-06,6.962777614593506,7.045791277005277,6.92645926098847,6.952400659391805,102100
2014-01-07,6.978343963623047,7.019850803221654,6.962779022473709,6.988720920922978,38800
2014-01-08,6.967963218688965,7.004281557316748,6.936832860722112,6.957586267766596,49600
2014-01-09,6.983527660369873,7.0561648273301145,6.978339185272667,7.004281065958482,87900
2014-01-10,7.08211088180542,7.102864301074866,7.019850623997084,7.019850623997084,47500
2014-01-13,7.099859714508057,7.125961740905497,7.0737571902463765,7.0737571902463765,36900
2014-01-14,7.1103010177612305,7.120742227481322,7.084198491325288,7.120742227481322,24400
2014-01-15,7.10507869720459,7.131181217337436,7.089417384270547,7.115519904403393,35100
2014-01-16,7.089422702789307,7.131186567187647,7.0842020952733815,7.0894227027893075,34200
2014-01-17,7.115521430969238,7.152064668276722,7.099860114675213,7.099860114675213,60300
2014-01-21,7.078973770141602,7.1468395976290315,7.078973770141602,7.125957689664294,37800
2014-01-22,7.1103010177612305,7.13118293933713,7.084198491325288,7.084198491325288,26100
2014-01-23,7.1416215896606445,7.178164814856126,7.115519072579256,7.1207396755683545,87000
2014-01-24,7.115521430969238,7.146844063557291,7.08941890523635,7.1311827472632645,69600
2014-01-27,7.146842956542969,7.183386686054258,7.131181642674811,7.16772487432191,81800
2014-01-28,7.225148677825928,7.225148677825927,7.162502940475676,7.162502940475676,38500
2014-01-29,7.240808486938477,7.2512496899314645,7.2094858736874325,7.2303677818094485,35300
2014-01-30,7.277353286743164,7.28257388937674,7.235589461402686,7.272133181973656,32900
2014-01-31,7.329558372497559,7.355660887997767,7.251251323861007,7.282573944169998,73100
2014-02-03,7.350438594818115,7.402643613812046,7.329556686793334,7.360879797762485,55000
2014-02-04,7.277353286743164,7.386983452727935,7.272133181973656,7.350440230021034,47700
2014-02-05,7.261694431304932,7.334781399287664,7.256473826906685,7.266915035703177,56800
2014-02-06,7.261694431304932,7.2930175598301705,7.240812511576185,7.256473826906685,28400
2014-02-07,7.366098880767822,7.366098880767822,7.282571260241792,7.282571260241792,30300
2014-02-10,7.413088321685791,7.418308925976908,7.37654508737642,7.381765691667538,29400
2014-02-11,7.376539707183838,7.439185419392957,7.3243346980776405,7.418303515323251,63700
2014-02-12,7.357636451721191,7.404901861608624,7.347132804705558,7.389146391085176,16300
2014-02-13,7.383893966674805,7.394397111281816,7.3628871766194,7.368138498502215,11700
2014-02-14,7.39439582824707,7.404899471872929,7.362885899052082,7.404899471872929,28200
2014-02-18,7.410150051116943,7.42590551497867,7.389143266809218,7.4154018724041855,27000
2014-02-19,7.415405750274658,7.441664369601513,7.40490260304882,7.4101539262409855,23300
2014-02-20,7.436408996582031,7.436408996582031,7.410150389786954,7.4311571750547625,32000
2014-02-21,7.425907611846924,7.462669369555622,7.4049008216074705,7.4416625793161675,35800
2014-02-24,7.415405750274658,7.446916193635185,7.40490260304882,7.40490260304882,37500
2014-02-25,7.441664218902588,7.4469160428299075,7.404902453094347,7.415405600107489,27800
2014-02-26,7.467922210693359,7.473173533338283,7.452166740234226,7.457418563720604,33400
2014-02-27,7.53094482421875,7.546699798510475,7.467924426210253,7.473175750413092,60900
2014-02-28,7.509934902191162,7.536193515653228,7.488928111589789,7.536193515653228,30800
2014-03-03,7.567705154418945,7.59396377379111,7.520439739717348,7.541446535046779,71900
2014-03-04,7.5782060623168945,7.588709205763047,7.546695630295786,7.546695630295786,36700
2014-03-05,7.562460899353027,7.588719545006463,7.557209570895947,7.583467715707375,33300
2014-03-06,7.50468635559082,7.557203605441982,7.488931380972116,7.557203605441982,27900
2014-03-07,7.43115758895874,7.462668019036169,7.415402624340673,7.457416197216381,50500
2014-03-10,7.50468635559082,7.520441330209523,7.415407331348812,7.415407331348812,49500
2014-03-11,7.5256876945495605,7.530939515892157,7.473170482806104,7.483674125491295,34800
2014-03-12,7.57006311416626,7.591193765764571,7.533084599817834,7.533084599817834,50800
2014-03-13,7.57006311416626,7.601759343460964,7.548932462567949,7.57006311416626,91100
2014-03-14,7.607051372528076,7.622899759373158,7.5753556064281495,7.5753556064281495,37200
2014-03-17,7.659876823425293,7.686290292540935,7.612332679776139,7.612332679776139,65900
2014-03-18,7.622889041900635,7.6493019752500215,7.617606253712993,7.6493019752500215,55100
2014-03-19,7.559502601623535,7.65987313132988,7.559502601623535,7.633459674945649,65100
2014-03-20,7.527805805206299,7.554219259667725,7.506675142396106,7.554219259667725,35100
2014-03-21,7.580631732940674,7.622893053091024,7.527804830855397,7.548935490930572,37100
2014-03-24,7.633456230163574,7.633456230163575,7.580629845029076,7.596477710189971,39000
2014-03-25,7.62817907333374,7.6493097437498205,7.612331196470411,7.644027453991992,30900
2014-03-26,7.659876823425293,7.659876823425292,7.622898268940404,7.622898268940404,35700
2014-03-27,7.659876823425293,7.670442412589558,7.633463354309649,7.659876823425292,16200
2014-03-28,7.681000709533691,7.686283499446924,7.64930447384887,7.6757179196204595,23900
2014-03-31,7.665153503417969,7.723262686081941,7.659870713049985,7.702132028404622,27300
2014-04-01,7.659876823425293,7.696855377910181,7.6493112342610265,7.67572470337667,26600
2014-04-02,7.559502601623535,7.61232901059722,7.5330891452393045,7.580633265971964,88700
2014-04-03,7.559502601623535,7.564784889864559,7.538371937275106,7.5542198095877335,52000
2014-04-04,7.575349807739258,7.607045549577104,7.559501936820336,7.559501936820336,32100
2014-04-07,7.580631732940674,7.601762393015849,7.533087621822859,7.564783360038285,37800
2014-04-08,7.59119987487793,7.601765461077111,7.548938537670966,7.575351999374039,45700
2014-04-09,7.57006311416626,7.591193765764571,7.548932462567949,7.57006311416626,58600
2014-04-10,7.577500343322754,7.604050394047247,7.540329360770901,7.56156970519635,32200
2014-04-11,7.566880702972412,7.641222169379322,7.545640356343268,7.550950569603007,33500
2014-04-14,7.556259632110596,7.582810189735442,7.524399368088594,7.550949925713439,29600
2014-04-15,7.508469104766846,7.550949793659775,7.50315889205279,7.52970944921331,44600
2014-04-16,7.556259632110596,7.582810189735442,7.492538597656825,7.492538597656825,63200
2014-04-17,7.519084930419922,7.566875806009711,7.508465017183014,7.566875806009711,35300
2014-04-21,7.6624579429626465,7.662457942962646,7.508465395203478,7.508465395203478,140700
2014-04-22,7.6359124183654785,7.657152766280424,7.609361856869338,7.635912418365479,29900
2014-04-23,7.641221523284912,7.678392000140556,7.635911310474172,7.657151655307364,28600
2014-04-24,7.6040496826171875,7.646530367493619,7.6040496826171875,7.630600237267384,25200
2014-04-25,7.625293254852295,7.64122389823588,7.593432980904973,7.64122389823588,27200
